Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Flight_Time_s,Coverage_pct
3,0.3,Normal,Drone 0,Success,1.2733,2413.5151,3.7693,39.8,98.93
3,0.3,Normal,Drone 1,Success,1.2529,1863.9716,3.8002,35.8,98.93
3,0.3,Normal,Drone 2,Success,1.5478,2533.4534,3.8745,38.95,98.93
3,0.3,Normal,Drone 3,Success,1.4791,1806.5804,3.8918,32.6,98.93
3,0.3,Normal,Drone 4,Success,1.1419,1705.9022,4.0053,31.25,98.93
3,0.3,Early,Drone 0,Success,1.8712,2459.4057,3.771,37.8,98.86
3,0.3,Early,Drone 1,Success,1.4485,1862.0675,3.8037,35.0,98.86
3,0.3,Early,Drone 2,Success,1.7919,2583.298,3.877,37.1,98.86
3,0.3,Early,Drone 3,Success,1.6614,1816.6029,3.8941,31.55,98.86
3,0.3,Early,Drone 4,Success,1.3443,1725.0845,4.0079,30.1,98.86
27,0.3,Normal,Drone 0,Success,1.3256,1883.5535,4.0006,34.4,99.26
27,0.3,Normal,Drone 1,Success,1.2275,2063.3065,4.0053,35.55,99.26
27,0.3,Normal,Drone 2,Success,1.2771,1785.4357,3.6688,30.7,99.26
27,0.3,Normal,Drone 3,Success,1.1202,2067.2303,4.0076,38.2,99.26
27,0.3,Normal,Drone 4,Success,1.2265,2468.5586,4.0042,40.3,99.26
27,0.3,Early,Drone 0,Success,1.5881,1869.5653,4.0031,32.85,99.16
27,0.3,Early,Drone 1,Success,1.4823,2069.3274,4.0079,34.1,99.16
27,0.3,Early,Drone 2,Success,1.4405,1787.4697,3.6713,29.35,99.16
27,0.3,Early,Drone 3,Success,1.3038,2065.9735,4.0108,36.8,99.16
27,0.3,Early,Drone 4,Success,1.4983,2467.2318,4.0064,38.9,99.16
51,0.3,Normal,Drone 0,Success,1.4381,1600.7306,3.9916,28.0,99.28
51,0.3,Normal,Drone 1,Success,1.7535,2119.864,3.8718,37.95,99.28
51,0.3,Normal,Drone 2,Success,1.2713,2596.5348,3.8008,44.75,99.28
51,0.3,Normal,Drone 3,Success,1.3806,1535.851,3.6981,28.0,99.28
51,0.3,Normal,Drone 4,Success,1.6767,2254.4203,3.8287,38.3,99.28
51,0.3,Early,Drone 0,Success,1.6208,1634.7547,3.994,27.2,99.33
51,0.3,Early,Drone 1,Success,1.9364,2127.0525,3.8753,36.3,99.33
51,0.3,Early,Drone 2,Success,1.5422,2576.837,3.8011,42.55,99.33
51,0.3,Early,Drone 3,Success,1.5632,1536.5919,3.7006,26.9,99.33
51,0.3,Early,Drone 4,Success,1.8826,2244.8821,3.8307,36.8,99.33
13,0.3,Normal,Drone 0,Success,1.5328,1398.537,3.6789,25.15,99.76
13,0.3,Normal,Drone 1,Success,1.1195,1992.6636,4.0054,37.45,99.76
13,0.3,Normal,Drone 2,Success,1.3595,2469.4789,3.884,46.65,99.76
13,0.3,Normal,Drone 3,Success,1.2788,2409.2272,3.8038,41.75,99.76
13,0.3,Normal,Drone 4,Success,1.2398,1604.68,4.0036,27.6,99.76
13,0.3,Early,Drone 0,Success,1.762,1392.2653,3.68,24.0,99.73
13,0.3,Early,Drone 1,Success,1.3728,2002.6493,4.0087,35.75,99.73
13,0.3,Early,Drone 2,Success,1.5495,2472.913,3.887,44.9,99.73
13,0.3,Early,Drone 3,Success,1.699,2407.4128,3.8066,40.05,99.73
13,0.3,Early,Drone 4,Success,1.4749,1617.2192,4.0057,26.65,99.73
93,0.3,Normal,Drone 0,Success,1.4143,2939.3081,3.8688,43.95,98.66
93,0.3,Normal,Drone 1,Success,1.1181,1930.3397,3.7278,34.75,98.66
93,0.3,Normal,Drone 2,Success,1.5556,1544.0859,3.9343,27.4,98.66
93,0.3,Normal,Drone 3,Success,1.5133,1638.708,4.0013,27.6,98.66
93,0.3,Normal,Drone 4,Success,1.5694,2465.3697,3.7688,41.1,98.66
93,0.3,Early,Drone 0,Success,1.6479,2986.6352,3.871,42.0,98.68
93,0.3,Early,Drone 1,Success,1.3227,1974.9,3.7311,33.4,98.68
93,0.3,Early,Drone 2,Success,1.7407,1566.9733,3.9367,26.4,98.68
93,0.3,Early,Drone 3,Success,1.7519,1642.6711,4.0027,26.45,98.68
93,0.3,Early,Drone 4,Success,1.7834,2422.1343,3.7541,38.95,98.68
42,0.3,Normal,Drone 0,Success,1.2104,2543.5566,3.7951,45.4,99.66
42,0.3,Normal,Drone 1,Success,1.5415,1170.285,3.5981,22.95,99.66
42,0.3,Normal,Drone 2,Success,1.3106,2007.6784,4.0032,32.9,99.66
42,0.3,Normal,Drone 3,Success,1.3388,2038.3225,3.8425,38.35,99.66
42,0.3,Normal,Drone 4,Success,1.7391,2181.1005,3.7962,37.05,99.66
42,0.3,Early,Drone 0,Success,1.4235,2539.3411,3.7975,43.4,99.61
42,0.3,Early,Drone 1,Success,1.7332,1148.9466,3.5996,22.1,99.61
42,0.3,Early,Drone 2,Success,1.5771,2036.0643,4.0057,31.6,99.61
42,0.3,Early,Drone 3,Success,1.5629,2067.0475,3.8455,36.6,99.61
42,0.3,Early,Drone 4,Success,1.9551,2204.4,3.7978,35.35,99.61
84,0.3,Normal,Drone 0,Success,1.392,2440.0674,3.886,40.15,99.67
84,0.3,Normal,Drone 1,Success,1.0498,1357.0145,4.0061,28.45,99.67
84,0.3,Normal,Drone 2,Success,1.1591,1492.2628,3.7215,32.65,99.67
84,0.3,Normal,Drone 3,Success,1.3578,2287.4933,3.9168,41.5,99.67
84,0.3,Normal,Drone 4,Success,1.3685,2013.8326,3.9954,36.7,99.67
84,0.3,Early,Drone 0,Success,1.6471,2485.3706,3.8886,38.55,99.61
84,0.3,Early,Drone 1,Success,1.2411,1366.4318,4.0098,27.5,99.61
84,0.3,Early,Drone 2,Success,1.3374,1475.2246,3.7251,31.55,99.61
84,0.3,Early,Drone 3,Success,1.5502,2243.7074,3.9193,39.75,99.61
84,0.3,Early,Drone 4,Success,1.5742,2015.8292,3.998,35.3,99.61
79,0.3,Normal,Drone 0,Success,0.9831,1567.4093,3.7192,32.6,99.27
79,0.3,Normal,Drone 1,Success,1.4646,2365.9225,3.8343,37.05,99.27
79,0.3,Normal,Drone 2,Success,1.3029,2101.7303,3.9502,39.2,99.27
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.1367,1594.9314,3.7227,31.45,99.2
79,0.3,Early,Drone 1,Success,1.6603,2415.115,3.8371,35.45,99.2
79,0.3,Early,Drone 2,Success,1.4959,2073.4721,3.9536,37.4,99.2
79,0.3,Early,Drone 3,Success,1.6287,1230.7841,4.0018,23.45,99.2
79,0.3,Early,Drone 4,Success,1.5797,2841.7169,3.9986,46.05,99.2
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,1.7186,1861.7572,3.9122,31.95,99.2
32,0.3,Early,Drone 1,Success,1.4025,2300.4975,3.7899,41.6,99.2
32,0.3,Early,Drone 2,Success,1.9112,2155.3738,3.8505,30.45,99.2
32,0.3,Early,Drone 3,Success,1.3489,1799.8046,4.0088,34.2,99.2
32,0.3,Early,Drone 4,Success,1.7668,1904.235,3.8302,29.85,99.2
